,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Trip distance (miles),mean,0.6294573180865274,1.1251743248988306,0.09987071290983764,0.7807342826331334,1.0745691617989142,1.207566363263454,0.6656118254082937,0.13697161180841697,1.146973407594711,1.2460468711487422,0.3567626376418081,0.5274857916040778,0.468162365133986,1.1804507079246886,0.5205717875802847,0.6656648294877722
Trip duration (minutes),mean,15.840584327160299,16.835059738025205,17.49306157763793,14.340844914840117,16.408760973345142,17.57117288306647,15.983549207185122,14.89168012398035,17.304163816028506,16.741457461645766,16.57973157767554,18.94303205466078,13.764709405424291,17.616144627615398,15.229346947838442,16.36522079548439
Route directness ratio,mean,0.5760191222837788,0.5610577886255665,0.5602575598971073,0.4956685210030702,0.5276166798180837,0.5566461540443358,0.5691696971673258,0.5926532820261698,0.5334433360605486,0.44798158931579973,0.569460025323801,0.5378399023678613,0.5881816550547136,0.5131048552711597,0.5740576337433859,0.5991907926011909
Average trip speed (mph),mean,2.556070891151099,4.700263077174219,0.4589598815680424,3.4724753881916732,4.5819127419947705,4.807544052150713,2.6829901343258347,0.6985058904890497,4.703804908404011,4.882058916398195,1.4256846380847394,2.0716228572239506,1.9911102885029377,4.7094121814457095,2.0177048303842877,2.5957744159278855
Average daily temperature,mean,62.08773529009617,74.71600518127174,51.32060587398642,45.32963493776067,79.43407707910751,78.82926383815679,67.36797821982653,44.65158357234393,79.5539727096687,63.84928142623249,56.542355902937956,74.1369329558793,50.79714511508446,80.22461858431032,55.67055402850379,64.79894628474536
Proportion of CBD land use at origin,mean,0.6493780680466699,0.6843740302005864,0.5605123307309652,0.723916662355492,0.7149441556604719,0.6341979763627218,0.6666663083297648,0.6802633442652942,0.6704604619858705,0.7043710288959055,0.6699535797881219,0.5692538006431606,0.6811040866516725,0.7097712310498562,0.6553013655829841,0.6902770227669055
Proportion of urban land use at origin,mean,0.24429457873229696,0.2067626292731497,0.33175543837164484,0.16670342439142097,0.17648910071636698,0.25596444054192985,0.2243117882279945,0.2123923835406922,0.22237531127123072,0.18813410445412873,0.21987736929584445,0.3208836692544334,0.21006666402126117,0.18197473584436566,0.23448427705942582,0.20707066543350885
Average population density at origin,mean,7949.826087857069,8337.180605045729,7227.958682674515,8390.81154972166,8593.025700784172,8218.181191732978,8366.887678147614,7881.947210526722,8360.893355004666,8519.282117979948,8047.7628222287,7934.894966386461,7921.800089999702,8641.254738083539,7731.5849456931055,8207.216836010177
Average employment density at origin,mean,73356.1924840949,78036.86124398606,54280.52839243046,87651.33181615607,82505.26204292198,75333.3992125068,77443.48705997592,68014.7198086552,77968.7836671991,79065.17380887456,71591.97992633011,66961.0615293848,74126.1429897711,84615.50682952793,69856.17507784185,75309.92617410206
Average parking density at origin,mean,12557.992105279856,12997.255636894724,8243.557984867894,15789.218284608367,14244.640860417967,12891.402075769724,13177.435507363722,11094.012114498646,13267.019915839683,13715.615388438295,11989.78562991426,11260.414836688962,12582.436674673163,14861.29021438603,11739.25745688766,12299.596345707305
Entropy at origin,mean,0.6491259195025901,0.6594984135674016,0.6231663301302391,0.6804864955575468,0.6809084881845393,0.6556922417460872,0.6627448020148944,0.6543388264498318,0.6611593022079153,0.6864440351958792,0.6580476086795299,0.6476030297865579,0.6565064538680476,0.6771617740753544,0.6437310358902635,0.6469955688743135
Proportion of CBD land use at destination,mean,0.6521985360270235,0.6757422920850105,0.5610670656599498,0.708245652921228,0.7050791793933193,0.6426526281452057,0.6613472541516336,0.6645454262159228,0.6655413400935711,0.7012924306381031,0.6622255157986146,0.5757765642996723,0.6736645063597562,0.6985548795814474,0.6570078135107467,0.6851784171806572
Proportion of urban land use at destination,mean,0.2411745846275871,0.2146123874190714,0.32931012941014803,0.18134485305927195,0.18531577613131048,0.246488424189348,0.2291291401331711,0.22685937865871875,0.2267624796582707,0.1907089360396854,0.2259807810572552,0.3121201931972823,0.21717844292610075,0.19196908161406073,0.2319641686777443,0.21127171329401553
Average population density at destination,mean,7910.783280193711,8264.819285149473,7041.275742410776,8151.828390945285,8498.07963729967,8240.292588283584,8313.570629869142,7703.482802409399,8308.962274247564,8241.528014698797,7913.857699234956,7879.173754214897,7772.5573343788155,8567.842696131307,7704.627388921729,8149.4056699840185
Average employment density at destination,mean,73733.69058176671,79723.54141837571,56125.310893762304,84849.66966753476,83861.0715698211,77238.94308744524,77488.39965217534,69821.56048694557,78946.66308048167,81803.65006397461,73249.7072719494,68691.87424775887,74315.68147472828,85911.66406956277,71336.6716053264,75991.69856509766
Average parking density at destination,mean,12528.544291283748,13461.030345844114,8849.44455352343,15253.149414398971,14707.361027893143,13256.082663389165,13149.374988708185,11582.247827690491,13551.49506588414,14473.52429163281,12414.094003507775,11696.715918408254,12738.499974500262,15283.620031981573,12022.43977652148,12364.790970831238
Entropy at destination,mean,0.6337825636908797,0.6440558442005541,0.5971762733897538,0.6575574570303339,0.6653805613669966,0.6402533423374446,0.6455747636356771,0.633454929917692,0.64506723337824,0.6667187434424746,0.636835023738434,0.6218659854526141,0.6367271289148224,0.6646212136299438,0.6295111110491644,0.6331562917224901
Trips on special event,mean,0.19219725627820064,0.267286672779403,0.0,0.0,0.0,0.34331272829446474,0.0,0.0,0.0,0.0,0.11816420408862645,0.25242007871297384,0.0,0.0,0.19396558572586156,0.7231120935020893
